"TargetModule","Coverage"
"common_d","0.3333333333333333"
"decorators_d","0.18181818181818182"
"schema_d","0.7575757575757576"
"en_d","1.0"
"pl_d","0.8392857142857143"
"pt_br_d","0.9375"
"ru_d","0.9761904761904762"
"address_d","0.8837209302325582"
"base_d","0.4411764705882353"
"choice_d","0.8421052631578947"
"cryptographic_d","0.9333333333333333"
"text_d","0.9615384615384616"
"payment_d","0.9615384615384616"
"structure_d","0.896551724137931"
"_internal_utils_d","0.76"
"configuration_d","0.4583333333333333"
"constants_d","1.0"
"format_d","0.21428571428571427"
"utils_d","0.6363636363636364"
"conf_d","0.6"
"box_d","0.9333333333333333"
"immutable_list_d","0.6444444444444445"
"lazy_d","0.5769230769230769"
"maybe_d","0.4444444444444444"
"monad_try_d","0.8"
"semigroups_d","0.7777777777777778"
"utils_d","0.35294117647058826"
"validation_d","0.7083333333333334"
"exchange_d","0.2727272727272727"
"generic_d","0.42857142857142855"
"journaling_d","0.15"
"ledger_d","0.14634146341463414"
"errors_d","0.3333333333333333"
"generation_d","0.8918918918918919"
"jedi_utils_d","0.48717948717948717"
"base_d","0.8936170212765957"
"composites_d","0.6285714285714286"
"positional_validation_d","0.25"
"tokenize_yaml_d","0.7142857142857143"
"tokens_d","0.6097560975609756"
"env_d","0.8571428571428571"
"log_d","0.8275862068965517"
"path_d","0.3333333333333333"
"props_d","0.7142857142857143"
"rand_d","1.0"
"simple_import_d","0.6666666666666666"
"blueprint_group_d","0.9333333333333333"
"cookies_d","0.6808510638297872"
"exceptions_d","0.9555555555555556"
"helpers_d","0.7222222222222222"
"utils_d","0.7241379310344828"
"config_d","0.6842105263157895"
"context_d","0.5555555555555556"
"sessions_d","0.6458333333333334"
"uploads_d","0.45454545454545453"
"utils_d","0.5405405405405406"
"processing_d","0.6086956521739131"
"writer_d","0.1702127659574468"
"colors_d","0.23076923076923078"
"headers_d","0.6"
"base_d","0.7857142857142857"
"builtin_d","1.0"
"manager_d","0.8076923076923077"
"conf_d","0.6"
"iterator","0.4297520661157025"
"structure","0.6842105263157895"
"timing","0.5"
"decorators","0.6666666666666666"
"namedtupleutils","0.05714285714285714"
"objutils","0.6296296296296297"
"packages","0.0379746835443038"
"strutils","0.7777777777777778"
"iterator","0.4297520661157025"
"structure","0.6842105263157895"
"timing","0.5"
"common","0.3333333333333333"
"decorators","0.18181818181818182"
"schema","0.7272727272727273"
"en","0.7"
"pl","0.8035714285714286"
"pt_br","0.9375"
"ru","0.9523809523809523"
"address","0.8837209302325582"
"base","0.4411764705882353"
"choice","0.90625"
"internet","0.9705882352941176"
"payment","0.9615384615384616"
"person","0.92"
"_internal_utils","0.76"
